Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
black-pinstriped-dropping-in-1-week,Black Pinstriped,"<p>Polished black pinstriped pants with a tailored, structured fit. Stretch fabric allows ease of movement while keeping a clean, refined look.</p>",Essaint,,,,FALSE,Size,M,,,,,,40.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/FullSizeRender_4a03b30f-47c6-48b9-bf7a-76f0b115b0d4.jpg?v=1780603616,1,draft
black-pinstriped-dropping-in-1-week,,,,,,,,Size,L,,,,,,40.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-8332.png?v=1780603905,2,
black-pinstriped-dropping-in-1-week,,,,,,,,Size,XL,,,,,,40.00,,TRUE,TRUE,,,
cypress-striped-pants-dropping-next-week,Monaco Striped (Olive green),"<p>Olive striped pants with a relaxed, breathable fit and a clean, refined look. Lightweight fabric keeps them comfortable for everyday wear.</p>",Essaint,,,,FALSE,Size,S-M,,,,,,26.00,30.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-8878.png?v=1782736311,1,draft
cypress-striped-pants-dropping-next-week,,,,,,,,Size,L,,,,,,26.00,30.00,TRUE,TRUE,,,
cypress-striped-pants-dropping-next-week,,,,,,,,Size,XL,,,,,,26.00,30.00,TRUE,TRUE,,,
milano-striped-pants-dropping-next-week,Milano Striped (Black),"<p>Clean black-and-white striped pants with a relaxed, breathable fit. Lightweight fabric and an easy silhouette make them simple to style day to day.</p>",Essaint,,,,FALSE,Size,S-M,,,,,,26.00,30.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-8876.png?v=1782735467,1,draft
milano-striped-pants-dropping-next-week,,,,,,,,Size,L,,,,,,26.00,30.00,TRUE,TRUE,,,
milano-striped-pants-dropping-next-week,,,,,,,,Size,XL,,,,,,26.00,30.00,TRUE,TRUE,,,
skyline-striped-pants,Sailor Striped ( Last Pieces ),"<p>Breathable striped pants with a relaxed, easy fit. Soft fabric and an elastic waistband make them comfortable for all-day wear.</p>",Essaint,,,,FALSE,SIZE,S-M,,,,,,26.00,30.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7668.png?v=1779541193,1,draft
skyline-striped-pants,,,,,,,,SIZE,L,,,,,,26.00,30.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7669.png?v=1777767033,2,
skyline-striped-pants,,,,,,,,SIZE,XL,,,,,,26.00,30.00,TRUE,TRUE,,,
over-size-t-shirt,Oversized T-Shirt,"<p>A heavyweight oversized tee with a relaxed, dropped-shoulder fit. The substantial fabric holds its shape while staying soft and comfortable for everyday wear.</p>",Essaint,,,,FALSE,size,S,Color,Black,,,,20.00,28.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/FullSizeRender.jpg?v=1777769396,1,draft
over-size-t-shirt,,,,,,,,size,S,Color,White,,,,20.00,28.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7676.png?v=1777768191,2,
over-size-t-shirt,,,,,,,,size,S,Color,Mocha,,,,20.00,28.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/2AF3969E-0363-4B6E-89F5-AF39517882BA.jpg?v=1777767916,3,
